ledger_id	status	priority	observed_in	source_path	query_id	expected_top_cui	expected_top_name	actual_top_cui	actual_top_name	cause	fix_class	regression_query	gate	notes
WFN-001	closed	P0	SQI-2026-06-11-011 rotating 50-query smoke	build/search_quality_experiments/runs/SQI-2026-06-11-011_rotating_50_sqi-2026-06-11-011-automated-50-query-smoke/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-11-011_rotating_50_sqi-2026-06-11-011-automated-50-query-smoke/payloads/paragraph_111.json	paragraph_111	C0085207	Gestational Diabetes	C1847425	Abnormal oral glucose tolerance	Diagnosis statement is present, but an abnormal test/result concept outranks the disease diagnosis.	primary-diagnosis-over-test-result ranking	Gestational diabetes was diagnosed after an abnormal oral glucose tolerance test. Insulin was started because fasting glucose remained high, and obstetrics monitored for fetal macrosomia.	Rotating 50-query smoke plus full clinical rerun	Closed by SQI-2026-06-11-013: focused live probe ranked Gestational Diabetes first and the comparable SQI-2026-06-11-011 rotating seed moved to 0 wrong-first rows.
WFN-002	closed_current_full_clinical	P0	Full clinical benchmark rerun 2026-06-10	build/search_quality_experiments/runs/SQI-2026-06-10-full-clinical-rerun_full-clinical-benchmark-rerun-2026-06-10/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-10-full-clinical-rerun_full-clinical-benchmark-rerun-2026-06-10/payloads/paragraph_11.json	paragraph_11	C0333548	Acute infarct	C0226213	Structure of right middle cerebral artery	Anatomic territory wording outranks the infarct and neurologic deficit concepts.	anatomic-territory demotion or active-diagnosis boost	Brain MRI showed acute infarct in the right MCA territory after sudden left sided weakness and facial droop. Aspirin and statin were started, but persistent neurologic deficit remained at discharge.	Full clinical 168-row rerun and rotating clinical smoke	Current full clinical rerun no longer has the MCA anatomy concept first; Facial Paresis is first and the row is top-on-target, though infarct remains lower than desired.
WFN-003	closed_current_full_clinical	P0	Full clinical benchmark rerun 2026-06-10	build/search_quality_experiments/runs/SQI-2026-06-10-full-clinical-rerun_full-clinical-benchmark-rerun-2026-06-10/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-10-full-clinical-rerun_full-clinical-benchmark-rerun-2026-06-10/payloads/paragraph_16.json	paragraph_16	C0003873	Rheumatoid Arthritis	C0201660	Rheumatoid Factor Measurement	A diagnostic measurement outranks the condition it supports.	supported-diagnosis boost plus lab/measurement demotion	Rheumatology evaluated morning stiffness and symmetric MCP swelling. Positive rheumatoid factor and anti cyclic citrullinated peptide antibodies supported rheumatoid arthritis, and methotrexate was started.	Full clinical 168-row rerun and rotating clinical smoke	Current full clinical rerun no longer has Rheumatoid Factor Measurement first; Rheumatoid Factor is first and accepted by the benchmark, while Rheumatoid Arthritis remains rank 5.
WFN-004	closed_current_full_clinical	P0	Full clinical benchmark rerun 2026-06-10	build/search_quality_experiments/runs/SQI-2026-06-10-full-clinical-rerun_full-clinical-benchmark-rerun-2026-06-10/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-10-full-clinical-rerun_full-clinical-benchmark-rerun-2026-06-10/payloads/paragraph_95.json	paragraph_95	C4721555	Autoimmune hepatitis	C0201511	Smooth muscle antibody measurement	Antibody measurement evidence outranks the suspected diagnosis and treatment context.	suspected-diagnosis boost plus lab/measurement demotion	Hepatology suspected autoimmune hepatitis after elevated transaminases, positive antinuclear antibodies, and positive smooth muscle antibody. Prednisone was started while liver biopsy was reviewed.	Full clinical 168-row rerun	Current full clinical rerun ranks Autoimmune hepatitis first; the row still misses C0369998 at top 10.
WFN-005	closed	P0	Full clinical benchmark rerun 2026-06-10	build/search_quality_experiments/runs/SQI-2026-06-10-full-clinical-rerun_full-clinical-benchmark-rerun-2026-06-10/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-10-full-clinical-rerun_full-clinical-benchmark-rerun-2026-06-10/payloads/paragraph_111.json	paragraph_111	C0085207	Gestational Diabetes	C0017741	Glucose tolerance test	Diagnosis statement is present, but the oral glucose tolerance test outranks the disease diagnosis.	primary-diagnosis-over-test-result ranking	Gestational diabetes was diagnosed after an abnormal oral glucose tolerance test. Insulin was started because fasting glucose remained high, and obstetrics monitored for fetal macrosomia.	Full clinical 168-row rerun and rotating 50-query smoke	Closed by SQI-2026-06-11-013: current full clinical rerun ranks Gestational Diabetes first with diagnosis_statement_component 0.16.
WFN-006	protected_closed	P0	SQI-2026-06-11-011 cardiology related-output probe	improvements/2026-06-11_related_yes_no_answer_value_suppression.md; build/search_quality_verification/SQI-2026-06-11-011.md	cardiology_related_yes_no	not_applicable	ST elevation, RCA occlusion, and PCI concepts	not_recorded	standalone no relation value	Standalone answer-value labels leaked through related-panel relation paths.	related-output answer-value filtering	Cardiology note with ST elevation, right coronary artery occlusion, and PCI wording.	Focused cardiology related-output probe; rotating smoke; patient-message smoke	Protected regression: standalone yes/no relation labels must stay hidden while direct yes/no searches and labels like No vomiting remain visible.
WFN-007	protected_closed	P0	SQI-2026-06-11-010 PubMed pharmacogenomic focused row	improvements/2026-06-11_pubmed_pharmacogenomic_response_top_result.md; build/search_quality_verification/SQI-2026-06-11-010.md	pubmed_cyp2c19_clopidogrel	C0070166	clopidogrel	C0004057	aspirin	Background antiplatelet mention outranked the pharmacogenomic target/response context.	sentence-bounded pharmacogenomic-response ranking	CYP2C19 loss-of-function / poor metabolizer context describing clopidogrel response with incidental aspirin background therapy.	Focused PubMed 7-row lane; rotating smoke; patient-message smoke	Protected regression: pharmacogenomic target/response context should beat incidental aspirin without hiding aspirin from ordinary drug searches.
WFN-008	closed	P0	SQI-2026-06-11-013 rotating 50-query smoke and full clinical rerun	build/search_quality_experiments/runs/SQI-2026-06-11-013_rotating_50_sqi-2026-06-11-013-automated-50-query-smoke/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-11-013_rotating_50_sqi-2026-06-11-013-automated-50-query-smoke/payloads/paragraph_05.json; build/search_quality_experiments/runs/SQI-2026-06-11-014_full_clinical_asserted_diagnosis_sqi-2026-06-11-014-full-clinical-asserted-diagnosis-check/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-11-014_rotating_50_sqi-2026-06-11-014-automated-50-query-smoke/rows.tsv	paragraph_05	C0040156	Thyrotoxicosis	C0231274	Intolerant of heat	Symptom and lab/result concepts in the first sentence outrank the suspected thyroid diagnosis in the second sentence.	suspected-diagnosis-over-symptom-result ranking	The patient had heat intolerance, fine tremor, and a suppressed TSH with elevated free thyroxine. Endocrinology recommended methimazole and thyroid uptake scan for suspected thyrotoxicosis.	Current rotating 50-query smoke and full clinical 168-row rerun	Closed by SQI-2026-06-11-014: live probe and full clinical rerun rank Thyrotoxicosis first with asserted_diagnosis_component 0.38.
WFN-009	closed	P0	SQI-2026-06-11-015 rotating 50-query smoke and full clinical rerun	build/search_quality_experiments/runs/SQI-2026-06-11-016_rotating_50_sqi-2026-06-11-016-automated-50-query-smoke/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-11-016_full_clinical_reaction_diagnosis_sqi-2026-06-11-016-full-clinical-reaction-diagnosis-check/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-11-016_rotating_50_sqi-2026-06-11-016-automated-50-query-smoke/payloads/paragraph_43.json	paragraph_43	C0002792	Anaphylaxis	C0413120	Bee sting	Exposure/trigger concept outranks the acute allergic reaction that developed after it.	reaction-diagnosis-over-trigger ranking	After a bee sting, the patient developed anaphylaxis with urticaria, angioedema, and wheezing. Intramuscular epinephrine was administered before transfer to the emergency department.	Rotating 50-query smoke plus full clinical 168-row rerun	Closed by SQI-2026-06-11-016: focused live probe, rotating smoke, and full clinical rerun rank Anaphylaxis first with reaction_diagnosis_component 0.62; direct bee sting query does not boost Anaphylaxis.
WFN-010	closed	P0	SQI-2026-06-11-013 rotating 50-query smoke and full clinical rerun	build/search_quality_experiments/runs/SQI-2026-06-11-013_rotating_50_sqi-2026-06-11-013-automated-50-query-smoke/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-11-013_rotating_50_sqi-2026-06-11-013-automated-50-query-smoke/payloads/paragraph_87.json; build/search_quality_experiments/runs/SQI-2026-06-11-014_full_clinical_asserted_diagnosis_sqi-2026-06-11-014-full-clinical-asserted-diagnosis-check/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-11-014_rotating_50_sqi-2026-06-11-014-automated-50-query-smoke/rows.tsv	paragraph_87	C0010674	Cystic Fibrosis	C0010201	Chronic Cough	A chronic symptom outranks the confirmed genetic diagnosis.	confirmed-diagnosis-over-symptom-test ranking	Genetic testing confirmed cystic fibrosis in a child with chronic cough, pancreatic insufficiency, and an abnormal sweat chloride test. Ivacaftor was discussed because the mutation was responsive.	Current rotating 50-query smoke and full clinical 168-row rerun	Closed by SQI-2026-06-11-014: live probe and full clinical rerun rank Cystic Fibrosis first with asserted_diagnosis_component 0.40.
WFN-011	closed	P0	SQI-2026-06-11-014 rotating 50-query smoke and full clinical rerun	build/search_quality_experiments/runs/SQI-2026-06-11-015_rotating_50_sqi-2026-06-11-015-automated-50-query-smoke/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-11-015_full_clinical_active_diagnosis_sqi-2026-06-11-015-full-clinical-active-diagnosis-check/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-11-015_rotating_50_sqi-2026-06-11-015-automated-50-query-smoke/payloads/paragraph_91.json	paragraph_91	C0023176	Lead Poisoning	C0262463	Blood lead level above reference range	Abnormal lab-result concept outranks the poisoning diagnosis in a had-X-after-elevated-Y sentence.	diagnosis-over-lab-result ranking	A toddler with pica had lead poisoning after an elevated blood lead level. Public health inspected the home, and chelation therapy was arranged.	Rotating 50-query smoke plus full clinical 168-row rerun	Closed by SQI-2026-06-11-015: focused live probe and full clinical rerun rank Lead Poisoning first with active_diagnosis_component 0.14; direct elevated blood lead level query does not boost Lead Poisoning.
WFN-012	closed	P0	SQI-2026-06-11-016 full clinical rerun	build/search_quality_experiments/runs/SQI-2026-06-11-017_full_clinical_objective_condition_alt_sqi-2026-06-11-017-full-clinical-objective-confirmed-condition-a/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-11-017_full_clinical_objective_condition_alt_sqi-2026-06-11-017-full-clinical-objective-confirmed-condition-a/payloads/paragraph_135.json	paragraph_135	C0034065	Pulmonary Embolism	C0008031	Chest Pain	Presenting symptom outranks the imaging-confirmed pulmonary embolism in a search-style query.	confirmed-condition-over-presenting-symptom ranking	Search: pleuritic chest pain and dyspnea after long flight. CT angiography showed pulmonary embolism and leg ultrasound found deep vein thrombosis, so apixaban was started.	Full clinical 168-row rerun	Closed by SQI-2026-06-11-017: focused live probe and full clinical rerun rank Pulmonary Embolism first with objective_confirmed_condition_component 0.56; direct pleuritic chest pain and CT angiography lookups do not receive the boost.
WFN-013	closed	P0	SQI-2026-06-11-019 source-specific evidence lane	build/search_quality_experiments/runs/SQI-2026-06-11-019_source_specific_equivalence_triage_sqi-2026-06-11-019-source-specific-equivalence-triage/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-11-020_source_specific_generic_screening_sqi-2026-06-11-020-generic-screening-direct-target-ranking/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-11-020_source_specific_generic_screening_sqi-2026-06-11-020-generic-screening-direct-target-ranking/payloads/pubmed_pmc_lit_02.json	pubmed_pmc_lit_02	C0009378	colonoscopy	C0199230	Screening for cancer	Broad screening concept outranked the directly named procedure and disease endpoint even though colonoscopy and colorectal carcinoma were ranks 2 and 3.	direct-procedure-and-disease-over-generic-screening ranking	colonoscopy screening and colorectal cancer literature	Source-specific evidence lane	Closed by SQI-2026-06-11-020: generic Screening for cancer now ranks below colonoscopy and Colorectal Carcinoma; the source-specific lane has 0 wrong-first rows but still misses DailyMed warning context C1550014.
WFN-014	closed	P0	SQI-2026-06-11-020 rotating 50-query smoke; SQI-2026-06-11-021 rotating 50-query smoke	build/search_quality_experiments/runs/SQI-2026-06-11-020_rotating_50_sqi-2026-06-11-020-automated-50-query-smoke/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-11-021_rotating_50_sqi-2026-06-11-021-automated-50-query-smoke/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-11-021_rotating_50_sqi-2026-06-11-021-automated-50-query-smoke/payloads/paragraph_112.json	paragraph_112	C0015846	fentanyl	C0085281	Addictive Behavior	Broad addiction-behavior label matched the specialty word addiction and outranked explicit fentanyl, buprenorphine/naloxone, urine drug screen, and withdrawal anchors in an opioid-use-disorder treatment paragraph.	broad-addiction demotion in opioid-use-disorder treatment context	Addiction medicine treated opioid use disorder after fentanyl use and withdrawal symptoms. Buprenorphine naloxone was initiated after a urine drug screen confirmed fentanyl exposure.	Rotating 50-query smoke plus focused ranker tests	Closed by SQI-2026-06-11-021: paragraph_112 now ranks fentanyl first, buprenorphine/naloxone second, urine drug screen third, and Addictive Behavior sixth; C4324621 Opioid Use Disorder remains a separate active-label/top-10 recall follow-up.
WFN-015	closed	P0	SQI-2026-06-16-002 rotating 50-query smoke	build/search_quality_experiments/runs/SQI-2026-06-16-002_rotating_50_sqi-2026-06-16-002-automated-50-query-smoke/rows.tsv; build/search_quality_experiments/runs/SQI-2026-06-16-002_rotating_50_sqi-2026-06-16-002-automated-50-query-smoke/payloads/paragraph_03.json	paragraph_03	C1456868	Diabetic foot ulcer	C0011860	Diabetes Mellitus, Non-Insulin-Dependent	Background Type 2 diabetes in the opening patient-description phrase outranked the presenting diabetic foot ulcer problem even though the foot ulcer and osteomyelitis concepts were present in the first page.	presentation-problem condition ranking	A patient with poorly controlled type 2 diabetes mellitus presented with foot ulcer drainage and exposed bone. Foot MRI was concerning for diabetic foot osteomyelitis, and bone biopsy was planned before narrowing antibiotics.	Rotating 50-query smoke plus focused ranker tests	Closed by SQI-2026-06-17-001: presentation-problem ranking and local numeric-specificity scoping rank Diabetic foot ulcer first and keep Type 2 diabetes from receiving the presentation component.
