id	query	expected_cuis	why	style	domain	expected_focus	synthetic	topic_index
synthetic_00001	Patient reports palpitations during evaluation for atrial fibrillation.		Synthetic clinical note sentence for atrial fibrillation; expected CUI is intentionally blank until judged.	clinical_note	cardiology	atrial fibrillation	true	1
synthetic_00002	Patient reports orthopnea during evaluation for heart failure with reduced ejection fraction.		Synthetic clinical note sentence for heart failure; expected CUI is intentionally blank until judged.	clinical_note	cardiology	heart failure	true	2
synthetic_00003	Patient reports substernal chest pressure during evaluation for non ST elevation myocardial infarction.		Synthetic clinical note sentence for acute coronary syndrome; expected CUI is intentionally blank until judged.	clinical_note	cardiology	acute coronary syndrome	true	3
synthetic_00004	Patient reports productive cough during evaluation for community acquired pneumonia.		Synthetic clinical note sentence for pneumonia; expected CUI is intentionally blank until judged.	clinical_note	pulmonary	pneumonia	true	4
synthetic_00005	Patient reports wheezing during evaluation for asthma.		Synthetic clinical note sentence for asthma exacerbation; expected CUI is intentionally blank until judged.	clinical_note	pulmonary	asthma exacerbation	true	5
synthetic_00006	Patient reports pleuritic chest pain during evaluation for acute pulmonary embolism.		Synthetic clinical note sentence for pulmonary embolism; expected CUI is intentionally blank until judged.	clinical_note	pulmonary	pulmonary embolism	true	6
synthetic_00007	Patient reports left lower quadrant pain during evaluation for acute uncomplicated diverticulitis.		Synthetic clinical note sentence for diverticulitis; expected CUI is intentionally blank until judged.	clinical_note	gastroenterology	diverticulitis	true	7
synthetic_00008	Patient reports melena during evaluation for upper gastrointestinal bleeding.		Synthetic clinical note sentence for gastrointestinal bleeding; expected CUI is intentionally blank until judged.	clinical_note	gastroenterology	gastrointestinal bleeding	true	8
synthetic_00009	Patient reports watery diarrhea during evaluation for clostridioides difficile colitis.		Synthetic clinical note sentence for clostridioides difficile infection; expected CUI is intentionally blank until judged.	clinical_note	gastroenterology	clostridioides difficile infection	true	9
synthetic_00010	Patient reports polyuria during evaluation for poorly controlled type 2 diabetes mellitus.		Synthetic clinical note sentence for type 2 diabetes; expected CUI is intentionally blank until judged.	clinical_note	endocrinology	type 2 diabetes	true	10
synthetic_00011	Patient reports diaphoresis and tremor during evaluation for insulin associated hypoglycemia.		Synthetic clinical note sentence for hypoglycemia; expected CUI is intentionally blank until judged.	clinical_note	endocrinology	hypoglycemia	true	11
synthetic_00012	Patient reports heat intolerance during evaluation for hyperthyroidism.		Synthetic clinical note sentence for thyrotoxicosis; expected CUI is intentionally blank until judged.	clinical_note	endocrinology	thyrotoxicosis	true	12
synthetic_00013	Patient reports decreased urine output during evaluation for acute kidney injury.		Synthetic clinical note sentence for acute kidney injury; expected CUI is intentionally blank until judged.	clinical_note	nephrology	acute kidney injury	true	13
synthetic_00014	Patient reports fatigue during evaluation for stage three chronic kidney disease.		Synthetic clinical note sentence for chronic kidney disease; expected CUI is intentionally blank until judged.	clinical_note	nephrology	chronic kidney disease	true	14
synthetic_00015	Patient reports muscle weakness during evaluation for hyperkalemia.		Synthetic clinical note sentence for hyperkalemia; expected CUI is intentionally blank until judged.	clinical_note	nephrology	hyperkalemia	true	15
synthetic_00016	Patient reports dysuria during evaluation for acute cystitis.		Synthetic clinical note sentence for urinary tract infection; expected CUI is intentionally blank until judged.	clinical_note	urology	urinary tract infection	true	16
synthetic_00017	Patient reports weak urinary stream during evaluation for benign prostatic hyperplasia.		Synthetic clinical note sentence for benign prostatic hyperplasia; expected CUI is intentionally blank until judged.	clinical_note	urology	benign prostatic hyperplasia	true	17
synthetic_00018	Patient reports left sided weakness during evaluation for acute ischemic stroke.		Synthetic clinical note sentence for ischemic stroke; expected CUI is intentionally blank until judged.	clinical_note	neurology	ischemic stroke	true	18
synthetic_00019	Patient reports postictal confusion during evaluation for generalized tonic clonic seizure.		Synthetic clinical note sentence for seizure; expected CUI is intentionally blank until judged.	clinical_note	neurology	seizure	true	19
synthetic_00020	Patient reports photophobia during evaluation for migraine headache.		Synthetic clinical note sentence for migraine; expected CUI is intentionally blank until judged.	clinical_note	neurology	migraine	true	20
synthetic_00021	Patient reports low mood during evaluation for major depressive disorder.		Synthetic clinical note sentence for major depression; expected CUI is intentionally blank until judged.	clinical_note	psychiatry	major depression	true	21
synthetic_00022	Patient reports tremulousness during evaluation for alcohol withdrawal syndrome.		Synthetic clinical note sentence for alcohol withdrawal; expected CUI is intentionally blank until judged.	clinical_note	psychiatry	alcohol withdrawal	true	22
synthetic_00023	Patient reports fever and malaise during evaluation for sepsis due to cellulitis.		Synthetic clinical note sentence for sepsis; expected CUI is intentionally blank until judged.	clinical_note	infectious disease	sepsis	true	23
synthetic_00024	Patient reports foot ulcer drainage during evaluation for diabetic foot osteomyelitis.		Synthetic clinical note sentence for osteomyelitis; expected CUI is intentionally blank until judged.	clinical_note	infectious disease	osteomyelitis	true	24
synthetic_00025	Patient reports itchy rash during evaluation for plaque psoriasis.		Synthetic clinical note sentence for psoriasis; expected CUI is intentionally blank until judged.	clinical_note	dermatology	psoriasis	true	25
