group	stage_id	order	label	hypothesis	acquisition_scope	queries	metrics	summary	artifact_paths	decision_rule	decision	notes
focused_5	baseline_5	0	Five-row baseline	Existing retrieval before source-aware acquisition establishes the comparison floor.	none	build/source_acquisition/acquired/focused_acquisition_queries.tsv	build/source_acquisition/acquired/eval_baseline/paragraph_quality_metrics.json	build/source_acquisition/acquired/eval_baseline/paragraph_quality_summary.tsv		diagnostic	baseline	Baseline over the first five benchmark rows used during acquisition debugging.
focused_5	narrow_clinical_linking_5	1	First acquisition with narrow clinical linking	Public source slices should improve targeted gaps, but the clinical label index may be too narrow for drugs, genes, and oncology terms.	DailyMed top drugs; NCI pages; MedlinePlus Genetics genes; six PubMed topics linked with clinical label index	build/source_acquisition/acquired/focused_acquisition_queries.tsv	build/source_acquisition/acquired/eval_with_acquired/paragraph_quality_metrics.json	build/source_acquisition/acquired/eval_with_acquired/paragraph_quality_summary.tsv	build/source_acquisition/acquired/dailymed_top_drugs/dailymed_top_drugs_source_build_manifest.json|build/source_acquisition/acquired/nci_reference_pages/nci_reference_pages_source_build_manifest.json|build/source_acquisition/acquired/medlineplus_genetics_genes/medlineplus_genetics_genes_source_build_manifest.json|build/source_acquisition/acquired/pubmed_association_topics_corpus.jsonl	diagnostic	reject	Rejected as a learned negative control: it reduced recall@10 because the narrower linker missed key source anchors.
focused_5	biomedicine_linking_5	2	Broader biomedical linking	The broader biomedical label index should recover drug, gene, disease, lab, and oncology anchors missed by the first pass.	Same source families rebuilt or relinked with build/umls_biomedicine_search_label_index.sqlite	build/source_acquisition/acquired/focused_acquisition_queries.tsv	build/source_acquisition/acquired_biomedicine/eval_with_acquired_biomedicine/paragraph_quality_metrics.json	build/source_acquisition/acquired_biomedicine/eval_with_acquired_biomedicine/paragraph_quality_summary.tsv	build/source_acquisition/acquired_biomedicine/dailymed_top_drugs/dailymed_top_drugs_source_build_manifest.json|build/source_acquisition/acquired_biomedicine/nci_reference_pages/nci_reference_pages_source_build_manifest.json|build/source_acquisition/acquired_biomedicine/medlineplus_genetics_genes/medlineplus_genetics_genes_source_build_manifest.json|build/source_acquisition/acquired_biomedicine/pubmed_association_topics_concept_documents.jsonl	promote	accept	Accepted: improved five-row verdicts to all good and recovered all expected concepts by rank 20.
focused_5	round2_expanded_topics_5	3	Expanded association topics	Expanding from six PubMed topics to the full measured 25-topic queue should add useful association evidence without degrading the accepted round.	Full live-bundle PubMed association topics and remaining DailyMed drugs	build/source_acquisition/acquired/focused_acquisition_queries.tsv	build/source_acquisition/acquired_round2/eval_with_biomedicine_plus_round2/paragraph_quality_metrics.json	build/source_acquisition/acquired_round2/eval_with_biomedicine_plus_round2/paragraph_quality_summary.tsv	build/source_acquisition/acquired_round2/pubmed_bundle_topics_corpus.jsonl|build/source_acquisition/acquired_round2/pubmed_bundle_topics_concept_documents.jsonl|build/source_acquisition/acquired_round2/dailymed_remaining_drugs/dailymed_remaining_drugs_source_build_manifest.json	no_regression	neutral	Neutral on the focused rows; kept the accepted quality level but did not improve recall.
focused_5	round3_targeted_and_fixed_dailymed_5	4	Targeted severe-hypoglycemia and corrected DailyMed	Focused evidence for the remaining miss plus correctly anchored clopidogrel/osimertinib DailyMed labels should preserve the accepted round.	Severe-hypoglycemia PubMed slice and corrected DailyMed clopidogrel/osimertinib source subset	build/source_acquisition/acquired/focused_acquisition_queries.tsv	build/source_acquisition/acquired_round3/eval_with_round3_corrected_dailymed/paragraph_quality_metrics.json	build/source_acquisition/acquired_round3/eval_with_round3_corrected_dailymed/paragraph_quality_summary.tsv	build/source_acquisition/acquired_round3/severe_hypoglycemia_concept_documents.jsonl|build/source_acquisition/acquired_round3/dailymed_remaining_drugs_maxamb/dailymed_remaining_drugs_maxamb_source_build_manifest.json	no_regression	neutral	Neutral on the focused rows; severe hypoglycemia remains a rank-11 crowding issue, not an evidence absence issue.
acquisition_6	baseline_6	0	Six-row baseline	The source-acquisition benchmark should include all rows that produced acquisition signal, not only the initial focused five rows.	none	build/source_acquisition/acquired_round3/acquisition_quality_queries_156_161.tsv	build/source_acquisition/acquired_round3/eval_156_161_baseline/paragraph_quality_metrics.json	build/source_acquisition/acquired_round3/eval_156_161_baseline/paragraph_quality_summary.tsv		diagnostic	baseline	Baseline over paragraphs 156-161 before staged acquired evidence.
acquisition_6	fixed_linker_acquired_6	1	Accepted fixed-linker acquisition	The accepted source set plus default-ambiguity linker fix should improve the full acquisition benchmark without adding false positives.	Accepted broader biomedical artifacts, expanded PubMed topics, targeted severe-hypoglycemia slice, and default-ambiguity fixed DailyMed clopidogrel/osimertinib build	build/source_acquisition/acquired_round3/acquisition_quality_queries_156_161.tsv	build/source_acquisition/acquired_round4/eval_156_161_with_fixed_linker_acquired/paragraph_quality_metrics.json	build/source_acquisition/acquired_round4/eval_156_161_with_fixed_linker_acquired/paragraph_quality_summary.tsv	build/source_acquisition/acquired_biomedicine/dailymed_top_drugs/dailymed_top_drugs_source_build_manifest.json|build/source_acquisition/acquired_biomedicine/nci_reference_pages/nci_reference_pages_source_build_manifest.json|build/source_acquisition/acquired_biomedicine/medlineplus_genetics_genes/medlineplus_genetics_genes_source_build_manifest.json|build/source_acquisition/acquired_round2/pubmed_bundle_topics_concept_documents.jsonl|build/source_acquisition/acquired_round3/severe_hypoglycemia_concept_documents.jsonl|build/source_acquisition/acquired_round4/dailymed_remaining_drugs_default_fixed/dailymed_remaining_drugs_default_fixed_source_build_manifest.json	promote	accept	Accepted: improved six-row verdicts from 5 good / 1 mixed to 6 good / 0 mixed and recall@20 from 34/35 to 35/35 with no disallowed@10 increase.
acquisition_6	openalex_missing_high_citation_6	2	Missing high-citation OpenAlex candidate	Recent high-citation articles missing from existing OpenAlex and recent PubMed corpora should preserve the accepted source-acquisition benchmark before any broad promotion.	OpenAlex five-year highly cited article sweep from measured clinical/drug/lab/condition query file, excluding current OpenAlex and recent PubMed corpora	build/source_acquisition/acquired_round3/acquisition_quality_queries_156_161.tsv	build/source_acquisition/acquired_round5/eval_156_161_with_openalex_missing_high_citation/paragraph_quality_metrics.json	build/source_acquisition/acquired_round5/eval_156_161_with_openalex_missing_high_citation/paragraph_quality_summary.tsv	build/source_acquisition/acquired_round5/openalex_missing_high_citation/manifest.json|build/source_acquisition/acquired_round5/openalex_missing_high_citation/openalex_missing_high_citation_articles.tsv|build/source_acquisition/acquired_round5/openalex_missing_high_citation/openalex_top_cited_concept_documents.jsonl|build/source_acquisition/acquired_round5/openalex_missing_high_citation/openalex_top_cited_concept_vectors.hashing.jsonl	no_regression	neutral	Neutral on the accepted six-row acquisition benchmark; kept as candidate evidence because the full default benchmark showed slight crowding before source-aware routing/filtering.
default_161	baseline_161_default	0	Current default 161-row benchmark	Before broad promotion, the default server corpus should establish a same-query baseline over the current 161-row paragraph benchmark.	Current default local server vector/doc set without the new missing high-citation shard	config/search_quality_paragraph_queries.tsv	build/source_acquisition/acquired_round5/eval_full_defaults_baseline/paragraph_quality_metrics.json	build/source_acquisition/acquired_round5/eval_full_defaults_baseline/paragraph_quality_summary.tsv		diagnostic	baseline	Default baseline: 144 good / 17 mixed, found@10 831/835, disallowed@10 0/161.
default_161	openalex_missing_high_citation_161	1	Missing high-citation OpenAlex default-path test	Broadly adding recent high-citation missing articles should not reduce default benchmark quality or crowd expected concepts.	Current default local server vector/doc set plus the missing high-citation OpenAlex candidate shard	config/search_quality_paragraph_queries.tsv	build/source_acquisition/acquired_round5/eval_full_defaults_plus_openalex_missing_high_citation/paragraph_quality_metrics.json	build/source_acquisition/acquired_round5/eval_full_defaults_plus_openalex_missing_high_citation/paragraph_quality_summary.tsv	build/source_acquisition/acquired_round5/openalex_missing_high_citation/manifest.json|build/source_acquisition/acquired_round5/openalex_missing_high_citation/openalex_missing_high_citation_articles.tsv|build/source_acquisition/acquired_round5/openalex_missing_high_citation/openalex_top_cited_concept_documents.jsonl|build/source_acquisition/acquired_round5/openalex_missing_high_citation/openalex_top_cited_concept_vectors.hashing.jsonl	diagnostic	reject	Rejected for default promotion in this form: full benchmark changed to 143 good / 18 mixed and found@10 830/835, with no disallowed@10 increase. Keep as candidate evidence pending filtering or source-aware routing.
