id	query	expected_cuis	why	style	domain	expected_focus	synthetic	topic_index
full_page_0001	Chief concern: the patient came in with worsening palpitations. The active assessment is atrial fibrillation. On exam or bedside review, the clinician documented irregularly irregular rhythm. Objective data: the team reviewed the available electrocardiogram information during this visit; it showed atrial fibrillation with rapid ventricular response. The same result is repeated in the emergency department note, consultant note, and discharge summary because the care team is trying to keep atrial fibrillation visible across handoffs. Plan: the care plan documents metoprolol for the active problem. The team discussed electrical cardioversion and reviewed warning signs of stroke risk. The medication list, nursing handoff, and patient instructions all use slightly different wording for the same active issue. Older history: the prior problem list still includes heart failure with reduced ejection fraction and prior furosemide. The current visit says there is no active issue related to volume overload, and the team is not making a new care decision about heart failure today. Medication lists, nursing notes, patient instructions, old test results, family history, scheduling text, and follow-up reminders appear alongside the active assessment. These repeated phrases restate the active problem in different words while also adding routine chart language such as assessment, plan, review, education, and return precautions. Discharge instructions: call urgently if symptoms such as palpitations return, if findings such as irregularly irregular rhythm are worsening, or if there are signs concerning for stroke risk. Follow-up is arranged to review electrocardiogram findings, management involving metoprolol, and whether electrical cardioversion is still needed.		Synthetic long-form clinical sample for atrial fibrillation; expected CUI is intentionally blank until judged.	full_page_clinical	cardiology	atrial fibrillation	true	1
full_page_0002	Chief concern: the patient came in with worsening orthopnea. The active assessment is heart failure with reduced ejection fraction. On exam or bedside review, the clinician documented bibasilar crackles. Objective data: the team reviewed the available echocardiogram information during this visit; it showed reduced ejection fraction. The same result is repeated in the emergency department note, consultant note, and discharge summary because the care team is trying to keep heart failure visible across handoffs. Plan: the care plan documents furosemide for the active problem. The team discussed diuresis and reviewed warning signs of volume overload. The medication list, nursing handoff, and patient instructions all use slightly different wording for the same active issue. Older history: the prior problem list still includes non ST elevation myocardial infarction and prior heparin infusion. The current visit says there is no active issue related to recurrent ischemia, and the team is not making a new care decision about acute coronary syndrome today. Medication lists, nursing notes, patient instructions, old test results, family history, scheduling text, and follow-up reminders appear alongside the active assessment. These repeated phrases restate the active problem in different words while also adding routine chart language such as assessment, plan, review, education, and return precautions. Discharge instructions: call urgently if symptoms such as orthopnea return, if findings such as bibasilar crackles are worsening, or if there are signs concerning for volume overload. Follow-up is arranged to review echocardiogram findings, management involving furosemide, and whether diuresis is still needed.		Synthetic long-form clinical sample for heart failure; expected CUI is intentionally blank until judged.	full_page_clinical	cardiology	heart failure	true	2
full_page_0003	Chief concern: the patient came in with worsening substernal chest pressure. The active assessment is non ST elevation myocardial infarction. On exam or bedside review, the clinician documented elevated troponin. Objective data: the team reviewed the available coronary angiography information during this visit; it showed critical coronary stenosis. The same result is repeated in the emergency department note, consultant note, and discharge summary because the care team is trying to keep acute coronary syndrome visible across handoffs. Plan: the care plan documents heparin infusion for the active problem. The team discussed percutaneous coronary intervention and reviewed warning signs of recurrent ischemia. The medication list, nursing handoff, and patient instructions all use slightly different wording for the same active issue. Older history: the prior problem list still includes community acquired pneumonia and prior ceftriaxone and azithromycin. The current visit says there is no active issue related to hypoxemia, and the team is not making a new care decision about pneumonia today. Medication lists, nursing notes, patient instructions, old test results, family history, scheduling text, and follow-up reminders appear alongside the active assessment. These repeated phrases restate the active problem in different words while also adding routine chart language such as assessment, plan, review, education, and return precautions. Discharge instructions: call urgently if symptoms such as substernal chest pressure return, if findings such as elevated troponin are worsening, or if there are signs concerning for recurrent ischemia. Follow-up is arranged to review coronary angiography findings, management involving heparin infusion, and whether percutaneous coronary intervention is still needed.		Synthetic long-form clinical sample for acute coronary syndrome; expected CUI is intentionally blank until judged.	full_page_clinical	cardiology	acute coronary syndrome	true	3
full_page_0004	Chief concern: the patient came in with worsening productive cough. The active assessment is community acquired pneumonia. On exam or bedside review, the clinician documented right lower lobe crackles. Objective data: the team reviewed the available chest radiograph information during this visit; it showed right lower lobe infiltrate. The same result is repeated in the emergency department note, consultant note, and discharge summary because the care team is trying to keep pneumonia visible across handoffs. Plan: the care plan documents ceftriaxone and azithromycin for the active problem. The team discussed sputum culture and reviewed warning signs of hypoxemia. The medication list, nursing handoff, and patient instructions all use slightly different wording for the same active issue. Older history: the prior problem list still includes asthma and prior albuterol nebulizer. The current visit says there is no active issue related to respiratory distress, and the team is not making a new care decision about asthma exacerbation today. Medication lists, nursing notes, patient instructions, old test results, family history, scheduling text, and follow-up reminders appear alongside the active assessment. These repeated phrases restate the active problem in different words while also adding routine chart language such as assessment, plan, review, education, and return precautions. Discharge instructions: call urgently if symptoms such as productive cough return, if findings such as right lower lobe crackles are worsening, or if there are signs concerning for hypoxemia. Follow-up is arranged to review chest radiograph findings, management involving ceftriaxone and azithromycin, and whether sputum culture is still needed.		Synthetic long-form clinical sample for pneumonia; expected CUI is intentionally blank until judged.	full_page_clinical	pulmonary	pneumonia	true	4
full_page_0005	Chief concern: the patient came in with worsening wheezing. The active assessment is asthma. On exam or bedside review, the clinician documented prolonged expiratory phase. Objective data: the team reviewed the available peak flow measurement information during this visit; it showed reduced peak expiratory flow. The same result is repeated in the emergency department note, consultant note, and discharge summary because the care team is trying to keep asthma exacerbation visible across handoffs. Plan: the care plan documents albuterol nebulizer for the active problem. The team discussed spirometry and reviewed warning signs of respiratory distress. The medication list, nursing handoff, and patient instructions all use slightly different wording for the same active issue. Older history: the prior problem list still includes acute pulmonary embolism and prior apixaban. The current visit says there is no active issue related to right heart strain, and the team is not making a new care decision about pulmonary embolism today. Medication lists, nursing notes, patient instructions, old test results, family history, scheduling text, and follow-up reminders appear alongside the active assessment. These repeated phrases restate the active problem in different words while also adding routine chart language such as assessment, plan, review, education, and return precautions. Discharge instructions: call urgently if symptoms such as wheezing return, if findings such as prolonged expiratory phase are worsening, or if there are signs concerning for respiratory distress. Follow-up is arranged to review peak flow measurement findings, management involving albuterol nebulizer, and whether spirometry is still needed.		Synthetic long-form clinical sample for asthma exacerbation; expected CUI is intentionally blank until judged.	full_page_clinical	pulmonary	asthma exacerbation	true	5
full_page_0006	Chief concern: the patient came in with worsening pleuritic chest pain. The active assessment is acute pulmonary embolism. On exam or bedside review, the clinician documented unilateral leg swelling. Objective data: the team reviewed the available computed tomography angiography information during this visit; it showed segmental pulmonary embolus. The same result is repeated in the emergency department note, consultant note, and discharge summary because the care team is trying to keep pulmonary embolism visible across handoffs. Plan: the care plan documents apixaban for the active problem. The team discussed venous duplex ultrasound and reviewed warning signs of right heart strain. The medication list, nursing handoff, and patient instructions all use slightly different wording for the same active issue. Older history: the prior problem list still includes acute uncomplicated diverticulitis and prior amoxicillin clavulanate. The current visit says there is no active issue related to perforation, and the team is not making a new care decision about diverticulitis today. Medication lists, nursing notes, patient instructions, old test results, family history, scheduling text, and follow-up reminders appear alongside the active assessment. These repeated phrases restate the active problem in different words while also adding routine chart language such as assessment, plan, review, education, and return precautions. Discharge instructions: call urgently if symptoms such as pleuritic chest pain return, if findings such as unilateral leg swelling are worsening, or if there are signs concerning for right heart strain. Follow-up is arranged to review computed tomography angiography findings, management involving apixaban, and whether venous duplex ultrasound is still needed.		Synthetic long-form clinical sample for pulmonary embolism; expected CUI is intentionally blank until judged.	full_page_clinical	pulmonary	pulmonary embolism	true	6
full_page_0007	Chief concern: the patient came in with worsening left lower quadrant pain. The active assessment is acute uncomplicated diverticulitis. On exam or bedside review, the clinician documented localized abdominal tenderness. Objective data: the team reviewed the available computed tomography abdomen information during this visit; it showed sigmoid diverticulitis. The same result is repeated in the emergency department note, consultant note, and discharge summary because the care team is trying to keep diverticulitis visible across handoffs. Plan: the care plan documents amoxicillin clavulanate for the active problem. The team discussed colonoscopy follow-up and reviewed warning signs of perforation. The medication list, nursing handoff, and patient instructions all use slightly different wording for the same active issue. Older history: the prior problem list still includes upper gastrointestinal bleeding and prior intravenous pantoprazole. The current visit says there is no active issue related to acute blood loss anemia, and the team is not making a new care decision about gastrointestinal bleeding today. Medication lists, nursing notes, patient instructions, old test results, family history, scheduling text, and follow-up reminders appear alongside the active assessment. These repeated phrases restate the active problem in different words while also adding routine chart language such as assessment, plan, review, education, and return precautions. Discharge instructions: call urgently if symptoms such as left lower quadrant pain return, if findings such as localized abdominal tenderness are worsening, or if there are signs concerning for perforation. Follow-up is arranged to review computed tomography abdomen findings, management involving amoxicillin clavulanate, and whether colonoscopy follow-up is still needed.		Synthetic long-form clinical sample for diverticulitis; expected CUI is intentionally blank until judged.	full_page_clinical	gastroenterology	diverticulitis	true	7
full_page_0008	Chief concern: the patient came in with worsening melena. The active assessment is upper gastrointestinal bleeding. On exam or bedside review, the clinician documented orthostatic hypotension. Objective data: the team reviewed the available upper endoscopy information during this visit; it showed bleeding gastric ulcer. The same result is repeated in the emergency department note, consultant note, and discharge summary because the care team is trying to keep gastrointestinal bleeding visible across handoffs. Plan: the care plan documents intravenous pantoprazole for the active problem. The team discussed endoscopic hemostasis and reviewed warning signs of acute blood loss anemia. The medication list, nursing handoff, and patient instructions all use slightly different wording for the same active issue. Older history: the prior problem list still includes clostridioides difficile colitis and prior oral vancomycin. The current visit says there is no active issue related to toxic megacolon, and the team is not making a new care decision about clostridioides difficile infection today. Medication lists, nursing notes, patient instructions, old test results, family history, scheduling text, and follow-up reminders appear alongside the active assessment. These repeated phrases restate the active problem in different words while also adding routine chart language such as assessment, plan, review, education, and return precautions. Discharge instructions: call urgently if symptoms such as melena return, if findings such as orthostatic hypotension are worsening, or if there are signs concerning for acute blood loss anemia. Follow-up is arranged to review upper endoscopy findings, management involving intravenous pantoprazole, and whether endoscopic hemostasis is still needed.		Synthetic long-form clinical sample for gastrointestinal bleeding; expected CUI is intentionally blank until judged.	full_page_clinical	gastroenterology	gastrointestinal bleeding	true	8
full_page_0009	Chief concern: the patient came in with worsening watery diarrhea. The active assessment is clostridioides difficile colitis. On exam or bedside review, the clinician documented diffuse abdominal cramping. Objective data: the team reviewed the available stool toxin assay information during this visit; it showed positive C difficile toxin. The same result is repeated in the emergency department note, consultant note, and discharge summary because the care team is trying to keep clostridioides difficile infection visible across handoffs. Plan: the care plan documents oral vancomycin for the active problem. The team discussed contact isolation and reviewed warning signs of toxic megacolon. The medication list, nursing handoff, and patient instructions all use slightly different wording for the same active issue. Older history: the prior problem list still includes poorly controlled type 2 diabetes mellitus and prior metformin and insulin glargine. The current visit says there is no active issue related to diabetic neuropathy, and the team is not making a new care decision about type 2 diabetes today. Medication lists, nursing notes, patient instructions, old test results, family history, scheduling text, and follow-up reminders appear alongside the active assessment. These repeated phrases restate the active problem in different words while also adding routine chart language such as assessment, plan, review, education, and return precautions. Discharge instructions: call urgently if symptoms such as watery diarrhea return, if findings such as diffuse abdominal cramping are worsening, or if there are signs concerning for toxic megacolon. Follow-up is arranged to review stool toxin assay findings, management involving oral vancomycin, and whether contact isolation is still needed.		Synthetic long-form clinical sample for clostridioides difficile infection; expected CUI is intentionally blank until judged.	full_page_clinical	gastroenterology	clostridioides difficile infection	true	9
full_page_0010	Chief concern: the patient came in with worsening polyuria. The active assessment is poorly controlled type 2 diabetes mellitus. On exam or bedside review, the clinician documented elevated hemoglobin A1c. Objective data: the team reviewed the available hemoglobin A1c information during this visit; it showed A1c above goal. The same result is repeated in the emergency department note, consultant note, and discharge summary because the care team is trying to keep type 2 diabetes visible across handoffs. Plan: the care plan documents metformin and insulin glargine for the active problem. The team discussed diabetes education and reviewed warning signs of diabetic neuropathy. The medication list, nursing handoff, and patient instructions all use slightly different wording for the same active issue. Older history: the prior problem list still includes insulin associated hypoglycemia and prior oral glucose. The current visit says there is no active issue related to loss of consciousness, and the team is not making a new care decision about hypoglycemia today. Medication lists, nursing notes, patient instructions, old test results, family history, scheduling text, and follow-up reminders appear alongside the active assessment. These repeated phrases restate the active problem in different words while also adding routine chart language such as assessment, plan, review, education, and return precautions. Discharge instructions: call urgently if symptoms such as polyuria return, if findings such as elevated hemoglobin A1c are worsening, or if there are signs concerning for diabetic neuropathy. Follow-up is arranged to review hemoglobin A1c findings, management involving metformin and insulin glargine, and whether diabetes education is still needed.		Synthetic long-form clinical sample for type 2 diabetes; expected CUI is intentionally blank until judged.	full_page_clinical	endocrinology	type 2 diabetes	true	10
