id	query	pmid	title	journal	year	source_url
pubmed_ui_41972887	PubMed PMID 41972887. Management strategy in aplastic anemia patients with HBV infection following intensive immunosuppressive therapy in Chinese cohort: prophylactic antiviral therapy may not be necessary with close monitoring. PURPOSE: Acquired aplastic anemia (AA) results from bone marrow failure, and intensive immunosuppressive therapy (IST) is a standard treatment for AA. However, the elimination of lymphocytes may lead to the reactivation of hepatitis B virus (HBV) in patients with HBV infection, and whether to administer antiviral drugs for prevention remains uncertain.	41972887	Management strategy in aplastic anemia patients with HBV infection following intensive immunosuppressive therapy in Chinese cohort: prophylactic antiviral therapy may not be necessary with close monitoring.	Hematology (Amsterdam, Netherlands)	2026	https://pubmed.ncbi.nlm.nih.gov/41972887/
pubmed_ui_42159071	"PubMed PMID 42159071. Monocyte exhaustion associated with systemic lupus erythematosus. Monocytes are major contributors to systemic lupus erythematosus (SLE) pathogenesis, modulating B- and T-cell autoreactivity through inflammatory cytokine secretion and disrupted immune clearance. Under prolonged inflammatory pressure, monocytes develop a pathogenic ""exhausted"" immune memory state defined by paradoxical proinflammatory and immunosuppressive gene expression and diminished immune effector functions."	42159071	Monocyte exhaustion associated with systemic lupus erythematosus.	Autoimmunity	2026	https://pubmed.ncbi.nlm.nih.gov/42159071/
pubmed_ui_41872676	PubMed PMID 41872676. Sex determines the natural killer cell-mediated immunity against pancreatic cancer. Pancreatic ductal adenocarcinoma (PDAC) ranks among the most aggressive malignancies and exhibits a higher prevalence and poorer prognosis in male patients. While both the importance of natural killer (NK) cells in anti-tumor immunity and sex differences in NK cell function are well established, the interplay between biological sex and NK cell-mediated responses in PDAC has not been systematically addressed.	41872676	Sex determines the natural killer cell-mediated immunity against pancreatic cancer.	Oncoimmunology	2026	https://pubmed.ncbi.nlm.nih.gov/41872676/
pubmed_ui_41933285	PubMed PMID 41933285. Gut microbiota-associated nutritional-immune status predicts prognosis in postoperative NSCLC patients. BACKGROUND: Surgical resection is the primary treatment for non-small cell lung cancer (NSCLC) patients with stages I and II; however, the postoperative prognosis varies among individuals. The prognostic nutritional index (PNI) reflects the nutritional-immune status of patients, but its microbial determinants remain unclear. METHODS: PNI was analyzed in a cohort of 372 retrospective and 139 prospective NSCLC patients.	41933285	Gut microbiota-associated nutritional-immune status predicts prognosis in postoperative NSCLC patients.	Gut microbes	2026	https://pubmed.ncbi.nlm.nih.gov/41933285/
pubmed_ui_41860373	PubMed PMID 41860373. Case report: persistent anemia after eculizumab in paroxysmal nocturnal hemoglobinuria: non-dominantly active intravascular hemolysis. OBJECTIVES: Paroxysmal nocturnal hemoglobinuria (PNH) is a rare condition characterized by intravascular hemolysis (IVH), thrombosis, and organ damage. Although C5 complement inhibitors such as eculizumab have significantly improved the prognosis of patients with PNH, persistent anemia remains in some patients. METHODS: We report a patient with PNH who initially responded to eculizumab but experienced recurrent hemoglobin decrease and became transfusion-dependent after 24 weeks of treatment.	41860373	Case report: persistent anemia after eculizumab in paroxysmal nocturnal hemoglobinuria: non-dominantly active intravascular hemolysis.	Hematology (Amsterdam, Netherlands)	2026	https://pubmed.ncbi.nlm.nih.gov/41860373/
pubmed_ui_42015349	PubMed PMID 42015349. Real-world efficacy of Bruton tyrosine kinase inhibitor based maintenance therapy in diffuse large B-cell lymphoma: a multicenter retrospective cohort study with external historical control. INTRODUCTION: The selection of an optimal maintenance agent in diffuse large B-cell lymphoma (DLBCL) continues to pose a significant clinical challenge. This study aims to evaluate the prognostic impact of maintenance therapy (MT) in DLBCL. METHODS: We conducted a retrospective analysis of data from DLBCL patients undergoing first-line MT at four hospitals in Beijing between January 2019 and August 2024.	42015349	Real-world efficacy of Bruton tyrosine kinase inhibitor based maintenance therapy in diffuse large B-cell lymphoma: a multicenter retrospective cohort study with external historical control.	Cancer biology & therapy	2026	https://pubmed.ncbi.nlm.nih.gov/42015349/
pubmed_ui_41688870	PubMed PMID 41688870. Vitamin D levels in relation to sexual steroids, sexual function, and quality of life in patients of an andrology outpatient clinic. OBJECTIVE: This study sought to delineate a putative synergistic interplay between vitamin D and testosterone and their conjoint associations with sexual function and quality of life in men presenting with symptoms of hypogonadism. METHODS: A retrospective cohort analysis was performed in men attending the andrological clinic of the University Hospital Munster (Germany) between 2016 and 2021.	41688870	Vitamin D levels in relation to sexual steroids, sexual function, and quality of life in patients of an andrology outpatient clinic.	The aging male : the official journal of the International Society for the Study of the Aging Male	2026	https://pubmed.ncbi.nlm.nih.gov/41688870/
pubmed_ui_41952487	PubMed PMID 41952487. Elevated circulating unsaturated fatty acids: A novel metabolic feature of coronary artery disease without traditional risk factors. Coronary artery disease (CAD) remains a major cause of global mortality. While established risk factors are targets of effective preventive interventions, a substantial proportion of CAD patients exhibit no conventional risk factors. To investigate potential metabolomic biomarkers of residual risk in such individuals, we conducted untargeted metabolomic profiling of serum from CAD patients lacking traditional risk factors using ultra-high-performance liquid chromatography-tandem mass spectrometry (UHPLC-MS/MS).	41952487	Elevated circulating unsaturated fatty acids: A novel metabolic feature of coronary artery disease without traditional risk factors.	Clinical and experimental hypertension (New York, N.Y. : 1993)	2026	https://pubmed.ncbi.nlm.nih.gov/41952487/
pubmed_ui_41693486	PubMed PMID 41693486. SII serves as an independent diagnostic indicator for GDM and is regulated by placental 5-HT/NF-B signaling. Gestational diabetes mellitus (GDM) poses a significant threat to perinatal health. Diagnosis based solely on glycemic parameters shows limited accuracy. The Systemic Immune-Inflammation Index (SII), a quantitative marker of inflammation, may improve diagnostic precision. This study analyzed clinical data stratified by GDM and obesity status to evaluate the diagnostic utility of SII and its underlying mechanisms involving placental NF-B and 5-hydroxytryptamine (5-HT) signaling.	41693486	SII serves as an independent diagnostic indicator for GDM and is regulated by placental 5-HT/NF-B signaling.	Hypertension in pregnancy	2026	https://pubmed.ncbi.nlm.nih.gov/41693486/
pubmed_ui_41934169	PubMed PMID 41934169. Protocol flexibility in PCOS: a combination of controlled ovarian stimulation and endometrial preparation strategies shows no impact on live birth outcomes after frozen embryo transfer-a retrospective cohort study. OBJECTIVES: This retrospective study compares pregnancy outcomes in polycystic ovary syndrome (PCOS) patients across different controlled ovarian stimulation (COS) protocols-specifically GnRH antagonist and GnRH agonist cycles-combined with various frozen embryo transfer(FET) preparation methods, such as hormone replacement therapy (HRT) and ovulatory cycles.	41934169	Protocol flexibility in PCOS: a combination of controlled ovarian stimulation and endometrial preparation strategies shows no impact on live birth outcomes after frozen embryo transfer-a retrospective cohort study.	Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology	2026	https://pubmed.ncbi.nlm.nih.gov/41934169/
