id	cui	judgment	target	weight	source	label	query	why
antibiotics_followup	C0003232	expected	3	3	clinical_expected		Plan includes initiating antibiotics monitoring symptoms and scheduling follow up visit	Plan text should surface antibiotics and follow-up concepts without generic scheduling dominating.
chest_exertion	C0232288	expected	3	3	clinical_expected		Patient reports intermittent chest pain worsening with exertion over past week	The phrase is asking for the more specific exertional chest pain concept, not just chest pain.
denies_weight_loss	C4528142	expected	3	3	clinical_expected		Denies nausea vomiting fever chills or recent unintentional weight loss	A denial query should not rank unintentional weight loss ahead of no weight loss.
history_risk	C0011849	expected	3	3	clinical_expected		History significant for hypertension diabetes mellitus and prior myocardial infarction	Multi-condition history should return the major condition CUIs as separate strong candidates.
history_risk	C0020538	expected	3	3	clinical_expected		History significant for hypertension diabetes mellitus and prior myocardial infarction	Multi-condition history should return the major condition CUIs as separate strong candidates.
history_risk	C0027051	expected	3	3	clinical_expected		History significant for hypertension diabetes mellitus and prior myocardial infarction	Multi-condition history should return the major condition CUIs as separate strong candidates.
hydration_return	C1321013	expected	3	3	clinical_expected		Patient advised to maintain hydration rest and return if symptoms worsen	Hydration should beat generic charting fragments such as patient advised to.
medication_adherence	C0746935	expected	3	3	clinical_expected		Medication adherence inconsistent patient unable to recall current prescriptions accurately	The target is medication nonadherence/noncompliance, not generic medication terms.
neuro_normal	C3266627	expected	3	3	clinical_expected		Neurological exam normal cranial nerves intact no focal deficits observed	Normal cranial nerve findings should be visible for this exam sentence.
paragraph_01	C0016860	useful_extra	1	1.5	useful_extra_config | precision_audit_review	furosemide		Explicitly mentioned drug in the paragraph; useful secondary concept, not a core expected CUI.
paragraph_01	C0018801	expected	3	3	paragraph_expected		Patient with heart failure with reduced ejection fraction reported worsening orthopnea and leg edema after missing several doses of furosemide. Exam showed bibasilar crackles, and echocardiogram demonstrated reduced ejection fraction.	Heart failure/HFrEF paragraph should retrieve core heart failure concepts and local bibasilar crackles.
paragraph_01	C0235886	useful_extra	1	1.5	useful_extra_config	Leg edema		Explicit sign in the heart failure paragraph; useful even though core expected set focuses on HFrEF and bibasilar crackles.
paragraph_01	C3839346	expected	3	3	paragraph_expected		Patient with heart failure with reduced ejection fraction reported worsening orthopnea and leg edema after missing several doses of furosemide. Exam showed bibasilar crackles, and echocardiogram demonstrated reduced ejection fraction.	Heart failure/HFrEF paragraph should retrieve core heart failure concepts and local bibasilar crackles.
paragraph_01	NEW3560835	expected	3	3	paragraph_expected		Patient with heart failure with reduced ejection fraction reported worsening orthopnea and leg edema after missing several doses of furosemide. Exam showed bibasilar crackles, and echocardiogram demonstrated reduced ejection fraction.	Heart failure/HFrEF paragraph should retrieve core heart failure concepts and local bibasilar crackles.
paragraph_02	C0034065	expected	3	3	paragraph_expected		Computed tomography angiography showed acute pulmonary embolism with right heart strain. The patient was started on apixaban after venous duplex ultrasound confirmed acute deep vein thrombosis.	PE paragraph includes PE, acute PE, right heart strain, and DVT as valid central concepts.
paragraph_02	C0149871	expected	3	3	paragraph_expected		Computed tomography angiography showed acute pulmonary embolism with right heart strain. The patient was started on apixaban after venous duplex ultrasound confirmed acute deep vein thrombosis.	PE paragraph includes PE, acute PE, right heart strain, and DVT as valid central concepts.
paragraph_02	C2882221	expected	3	3	paragraph_expected		Computed tomography angiography showed acute pulmonary embolism with right heart strain. The patient was started on apixaban after venous duplex ultrasound confirmed acute deep vein thrombosis.	PE paragraph includes PE, acute PE, right heart strain, and DVT as valid central concepts.
paragraph_02	NEW3009171	expected	3	3	paragraph_expected		Computed tomography angiography showed acute pulmonary embolism with right heart strain. The patient was started on apixaban after venous duplex ultrasound confirmed acute deep vein thrombosis.	PE paragraph includes PE, acute PE, right heart strain, and DVT as valid central concepts.
paragraph_03	C0003232	useful_extra	1	1.5	useful_extra_config	Antibiotics		Explicit therapeutic class in diabetic foot osteomyelitis paragraph.
paragraph_03	C0024485	useful_extra	1	1.5	useful_extra_config | precision_audit_review	Magnetic Resonance Imaging		Explicitly mentioned MRI procedure; useful secondary concept.
paragraph_03	C1456868	expected	3	3	paragraph_expected		A patient with poorly controlled type 2 diabetes mellitus presented with foot ulcer drainage and exposed bone. Foot MRI was concerning for diabetic foot osteomyelitis, and bone biopsy was planned before narrowing antibiotics.	Diabetic foot paragraph should retrieve local poorly controlled T2DM, diabetic foot osteomyelitis, exposed bone, and ulcer concepts.
paragraph_03	NEW1037705	expected	3	3	paragraph_expected		A patient with poorly controlled type 2 diabetes mellitus presented with foot ulcer drainage and exposed bone. Foot MRI was concerning for diabetic foot osteomyelitis, and bone biopsy was planned before narrowing antibiotics.	Diabetic foot paragraph should retrieve local poorly controlled T2DM, diabetic foot osteomyelitis, exposed bone, and ulcer concepts.
paragraph_03	NEW1692186	expected	3	3	paragraph_expected		A patient with poorly controlled type 2 diabetes mellitus presented with foot ulcer drainage and exposed bone. Foot MRI was concerning for diabetic foot osteomyelitis, and bone biopsy was planned before narrowing antibiotics.	Diabetic foot paragraph should retrieve local poorly controlled T2DM, diabetic foot osteomyelitis, exposed bone, and ulcer concepts.
paragraph_03	NEW8007735	expected	3	3	paragraph_expected		A patient with poorly controlled type 2 diabetes mellitus presented with foot ulcer drainage and exposed bone. Foot MRI was concerning for diabetic foot osteomyelitis, and bone biopsy was planned before narrowing antibiotics.	Diabetic foot paragraph should retrieve local poorly controlled T2DM, diabetic foot osteomyelitis, exposed bone, and ulcer concepts.
paragraph_04	C0036572	useful_extra	1	1.5	useful_extra_config	Seizures		Explicit seizure concept in EEG paragraph, separate from tonic-clonic subtype.
paragraph_04	C0494475	expected	3	3	paragraph_expected		Electroencephalogram captured epileptiform discharges during evaluation for generalized tonic clonic seizure. Levetiracetam was started, and seizure precautions were continued because of persistent postictal confusion.	Seizure paragraph should retrieve tonic-clonic seizure, postictal confusion, and local epileptiform discharges.
paragraph_04	C0751053	expected	3	3	paragraph_expected		Electroencephalogram captured epileptiform discharges during evaluation for generalized tonic clonic seizure. Levetiracetam was started, and seizure precautions were continued because of persistent postictal confusion.	Seizure paragraph should retrieve tonic-clonic seizure, postictal confusion, and local epileptiform discharges.
paragraph_04	NEW6052703	expected	3	3	paragraph_expected		Electroencephalogram captured epileptiform discharges during evaluation for generalized tonic clonic seizure. Levetiracetam was started, and seizure precautions were continued because of persistent postictal confusion.	Seizure paragraph should retrieve tonic-clonic seizure, postictal confusion, and local epileptiform discharges.
paragraph_05	C0025644	expected	3	3	paragraph_expected		The patient had heat intolerance, fine tremor, and a suppressed TSH with elevated free thyroxine. Endocrinology recommended methimazole and thyroid uptake scan for suspected thyrotoxicosis.	Thyrotoxicosis paragraph contains disease, lab finding, hormone result, and treatment concepts.
paragraph_05	C0040156	expected	3	3	paragraph_expected		The patient had heat intolerance, fine tremor, and a suppressed TSH with elevated free thyroxine. Endocrinology recommended methimazole and thyroid uptake scan for suspected thyrotoxicosis.	Thyrotoxicosis paragraph contains disease, lab finding, hormone result, and treatment concepts.
paragraph_05	C0040822	useful_extra	1	1.5	useful_extra_config | precision_audit_review	Tremor		Explicit tremor symptom in thyrotoxicosis paragraph.
paragraph_05	C0312452	expected	3	3	paragraph_expected		The patient had heat intolerance, fine tremor, and a suppressed TSH with elevated free thyroxine. Endocrinology recommended methimazole and thyroid uptake scan for suspected thyrotoxicosis.	Thyrotoxicosis paragraph contains disease, lab finding, hormone result, and treatment concepts.
paragraph_05	NEW0984835	expected	3	3	paragraph_expected		The patient had heat intolerance, fine tremor, and a suppressed TSH with elevated free thyroxine. Endocrinology recommended methimazole and thyroid uptake scan for suspected thyrotoxicosis.	Thyrotoxicosis paragraph contains disease, lab finding, hormone result, and treatment concepts.
paragraph_06	C0003872	expected	3	3	paragraph_expected		A patient with plaque psoriasis had erythematous plaques on extensor surfaces with silvery scale. Joint pain raised concern for psoriatic arthritis, although no joint erosion was seen on the initial radiograph.	Psoriasis paragraph should retrieve psoriasis, psoriatic arthritis, and local scale concepts; negated joint erosion should not be required as a positive expected result.
paragraph_06	C0332477	useful_extra	1	1.5	useful_extra_config | precision_audit_review	Erythematous plaque		Explicit plaque morphology in psoriasis paragraph.
paragraph_06	C0406317	expected	3	3	paragraph_expected		A patient with plaque psoriasis had erythematous plaques on extensor surfaces with silvery scale. Joint pain raised concern for psoriatic arthritis, although no joint erosion was seen on the initial radiograph.	Psoriasis paragraph should retrieve psoriasis, psoriatic arthritis, and local scale concepts; negated joint erosion should not be required as a positive expected result.
paragraph_06	NEW4386596	expected	3	3	paragraph_expected		A patient with plaque psoriasis had erythematous plaques on extensor surfaces with silvery scale. Joint pain raised concern for psoriatic arthritis, although no joint erosion was seen on the initial radiograph.	Psoriasis paragraph should retrieve psoriasis, psoriatic arthritis, and local scale concepts; negated joint erosion should not be required as a positive expected result.
paragraph_06	NEW9797321	disallowed	-2	3	paragraph_expected		A patient with plaque psoriasis had erythematous plaques on extensor surfaces with silvery scale. Joint pain raised concern for psoriatic arthritis, although no joint erosion was seen on the initial radiograph.	Psoriasis paragraph should retrieve psoriasis, psoriatic arthritis, and local scale concepts; negated joint erosion should not be required as a positive expected result.
paragraph_07	C0027051	useful_extra	1	1.5	useful_extra_config | precision_audit_review	Myocardial Infarction		Explicit myocardial infarction context in NSTEMI paragraph.
paragraph_07	C0085532	expected	3	3	paragraph_expected		Coronary angiography demonstrated critical coronary stenosis after non ST elevation myocardial infarction. Heparin infusion was continued until percutaneous coronary intervention, and the team monitored for recurrent ischemia.	NSTEMI paragraph should prefer NSTEMI over STEMI and retrieve coronary angiography, PCI, and recurrent ischemia.
paragraph_07	C0242231	useful_extra	1	1.5	useful_extra_config	Coronary Stenosis		Explicit coronary stenosis phrase in NSTEMI paragraph.
paragraph_07	C1532338	expected	3	3	paragraph_expected		Coronary angiography demonstrated critical coronary stenosis after non ST elevation myocardial infarction. Heparin infusion was continued until percutaneous coronary intervention, and the team monitored for recurrent ischemia.	NSTEMI paragraph should prefer NSTEMI over STEMI and retrieve coronary angiography, PCI, and recurrent ischemia.
paragraph_07	C4255010	expected	3	3	paragraph_expected		Coronary angiography demonstrated critical coronary stenosis after non ST elevation myocardial infarction. Heparin infusion was continued until percutaneous coronary intervention, and the team monitored for recurrent ischemia.	NSTEMI paragraph should prefer NSTEMI over STEMI and retrieve coronary angiography, PCI, and recurrent ischemia.
paragraph_07	NEW8955984	expected	3	3	paragraph_expected		Coronary angiography demonstrated critical coronary stenosis after non ST elevation myocardial infarction. Heparin infusion was continued until percutaneous coronary intervention, and the team monitored for recurrent ischemia.	NSTEMI paragraph should prefer NSTEMI over STEMI and retrieve coronary angiography, PCI, and recurrent ischemia.
paragraph_08	C0034065	expected	3	3	paragraph_expected		The patient denied pleuritic chest pain, but computed tomography angiography later showed segmental pulmonary embolus. There was no evidence of right heart strain on echocardiogram.	Denied-symptom paragraph should retrieve CTA/PE while demoting denied right heart strain; wording does not require acute PE.
paragraph_08	C0040405	useful_extra	1	1.5	useful_extra_config | precision_audit_review	X-Ray Computed Tomography		Explicit computed tomography angiography procedure; useful secondary concept.
paragraph_08	C0225808	useful_extra	1	1.5	useful_extra_config	Right side of heart		Explicit anatomy in right heart strain wording; useful for anatomy coverage beside pulmonary embolus.
paragraph_08	C1536105	expected	3	3	paragraph_expected		The patient denied pleuritic chest pain, but computed tomography angiography later showed segmental pulmonary embolus. There was no evidence of right heart strain on echocardiogram.	Denied-symptom paragraph should retrieve CTA/PE while demoting denied right heart strain; wording does not require acute PE.
paragraph_08	C2926613	true_false_positive	-2	4	precision_audit_review	Chest pain		Generic clinical-attribute chest pain duplicate; paragraph denies pleuritic chest pain and tests pulmonary embolus/right-heart strain.
paragraph_09	C0001924	useful_extra	1	1.5	useful_extra_config | precision_audit_review	Albumins		Explicit albumin creatinine ratio component; useful secondary concept.
paragraph_09	C0019018	expected	3	3	paragraph_expected		Researchers used hemoglobin A1c and medication exposure to identify poorly controlled type 2 diabetes mellitus in electronic health records. Elevated albumin creatinine ratio was associated with progressive renal disease during follow up.	Research paragraph should retrieve local poorly controlled T2DM plus A1c, albumin/creatinine ratio, and renal disease.
paragraph_09	C0022658	expected	3	3	paragraph_expected		Researchers used hemoglobin A1c and medication exposure to identify poorly controlled type 2 diabetes mellitus in electronic health records. Elevated albumin creatinine ratio was associated with progressive renal disease during follow up.	Research paragraph should retrieve local poorly controlled T2DM plus A1c, albumin/creatinine ratio, and renal disease.
paragraph_09	C0486293	expected	3	3	paragraph_expected		Researchers used hemoglobin A1c and medication exposure to identify poorly controlled type 2 diabetes mellitus in electronic health records. Elevated albumin creatinine ratio was associated with progressive renal disease during follow up.	Research paragraph should retrieve local poorly controlled T2DM plus A1c, albumin/creatinine ratio, and renal disease.
paragraph_09	NEW1692186	expected	3	3	paragraph_expected		Researchers used hemoglobin A1c and medication exposure to identify poorly controlled type 2 diabetes mellitus in electronic health records. Elevated albumin creatinine ratio was associated with progressive renal disease during follow up.	Research paragraph should retrieve local poorly controlled T2DM plus A1c, albumin/creatinine ratio, and renal disease.
paragraph_10	C0041618	useful_extra	1	1.5	useful_extra_config | precision_audit_review	Ultrasonography		Explicit ultrasound guidance procedure context.
paragraph_10	C0398275	expected	3	3	paragraph_expected		A procedure note documented ultrasound guided venous access for central venous catheter placement. The right internal jugular central line was placed using sterile technique, and the team monitored for line associated infection.	Procedure paragraph should retrieve central venous catheter/device, insertion, and right internal jugular vein concepts.
paragraph_10	C0501117	expected	3	3	paragraph_expected		A procedure note documented ultrasound guided venous access for central venous catheter placement. The right internal jugular central line was placed using sterile technique, and the team monitored for line associated infection.	Procedure paragraph should retrieve central venous catheter/device, insertion, and right internal jugular vein concepts.
paragraph_10	C0745442	useful_extra	1	1.5	useful_extra_config	Intravenous Catheters		Relevant device family for central venous catheter placement paragraph.
paragraph_10	C0750164	useful_extra	1	1.5	useful_extra_config | precision_audit_review	venous access		Explicit venous access procedure context for central-line placement.
paragraph_10	C1145640	expected	3	3	paragraph_expected		A procedure note documented ultrasound guided venous access for central venous catheter placement. The right internal jugular central line was placed using sterile technique, and the team monitored for line associated infection.	Procedure paragraph should retrieve central venous catheter/device, insertion, and right internal jugular vein concepts.
paragraph_100	C0005824	useful_extra	1	1.5	useful_extra_config	Blood pressure determination		Useful measurement concept for severe range blood pressure paragraph.
paragraph_100	C0022860	expected	3	3	paragraph_expected		A pregnant patient at 34 weeks had severe range blood pressure, headache, and proteinuria consistent with preeclampsia. Magnesium sulfate and labetalol were given before delivery planning.	Obstetric hypertension paragraph should retrieve preeclampsia, proteinuria, magnesium sulfate, and labetalol.
