id	query	expected_cuis	why	disallowed_cuis
paragraph_01	Patient with heart failure with reduced ejection fraction reported worsening orthopnea and leg edema after missing several doses of furosemide. Exam showed bibasilar crackles, and echocardiogram demonstrated reduced ejection fraction.	C0018801|C3839346|NEW3560835	Heart failure/HFrEF paragraph should retrieve core heart failure concepts and local bibasilar crackles.
paragraph_02	Computed tomography angiography showed acute pulmonary embolism with right heart strain. The patient was started on apixaban after venous duplex ultrasound confirmed acute deep vein thrombosis.	C0034065|C2882221|NEW3009171|C0149871	PE paragraph includes PE, acute PE, right heart strain, and DVT as valid central concepts.
paragraph_03	A patient with poorly controlled type 2 diabetes mellitus presented with foot ulcer drainage and exposed bone. Foot MRI was concerning for diabetic foot osteomyelitis, and bone biopsy was planned before narrowing antibiotics.	NEW1692186|NEW1037705|NEW8007735|C1456868	Diabetic foot paragraph should retrieve local poorly controlled T2DM, diabetic foot osteomyelitis, exposed bone, and ulcer concepts.
paragraph_04	Electroencephalogram captured epileptiform discharges during evaluation for generalized tonic clonic seizure. Levetiracetam was started, and seizure precautions were continued because of persistent postictal confusion.	NEW6052703|C0494475|C0751053	Seizure paragraph should retrieve tonic-clonic seizure, postictal confusion, and local epileptiform discharges.
paragraph_05	The patient had heat intolerance, fine tremor, and a suppressed TSH with elevated free thyroxine. Endocrinology recommended methimazole and thyroid uptake scan for suspected thyrotoxicosis.	C0040156|NEW0984835|C0312452|C0025644	Thyrotoxicosis paragraph contains disease, lab finding, hormone result, and treatment concepts.
paragraph_06	A patient with plaque psoriasis had erythematous plaques on extensor surfaces with silvery scale. Joint pain raised concern for psoriatic arthritis, although no joint erosion was seen on the initial radiograph.	C0406317|C0003872|NEW4386596|NEW9797321	Psoriasis paragraph should retrieve psoriasis, psoriatic arthritis, and local scale/erosion concepts.
paragraph_07	Coronary angiography demonstrated critical coronary stenosis after non ST elevation myocardial infarction. Heparin infusion was continued until percutaneous coronary intervention, and the team monitored for recurrent ischemia.	C4255010|C0085532|C1532338|NEW8955984	NSTEMI paragraph should prefer NSTEMI over STEMI and retrieve coronary angiography, PCI, and recurrent ischemia.
paragraph_08	The patient denied pleuritic chest pain, but computed tomography angiography later showed segmental pulmonary embolus. There was no evidence of right heart strain on echocardiogram.	C1536105|C0034065	Denied-symptom paragraph should retrieve CTA/PE while demoting denied right heart strain; wording does not require acute PE.
paragraph_09	Researchers used hemoglobin A1c and medication exposure to identify poorly controlled type 2 diabetes mellitus in electronic health records. Elevated albumin creatinine ratio was associated with progressive renal disease during follow up.	NEW1692186|C0019018|C0486293|C0022658	Research paragraph should retrieve local poorly controlled T2DM plus A1c, albumin/creatinine ratio, and renal disease.
paragraph_10	A procedure note documented ultrasound guided venous access for central venous catheter placement. The right internal jugular central line was placed using sterile technique, and the team monitored for line associated infection.	C1145640|C0398275|C0501117	Procedure paragraph should retrieve central venous catheter/device, insertion, and right internal jugular vein concepts.
