id	term	pmids	expected_cuis	why	disallowed_cuis	retmax
pubmed_status_migrainosus	status migrainosus treatment review	38307660|30198804	C0338489|C0154723|C0338480|C0075632|C0003211|C0000970|C0024480|C0012291	PubMed status migrainosus abstracts should retrieve the complication, migraine aura variants, and treatment concepts.	C0030768|C0206488|C1709941|C3846076|C0541653|C0206176|C0730229|C5418818	2
pubmed_egfr_nsclc	EGFR mutated non-small cell lung cancer osimertinib brain metastases progression free survival	39951884|37879444	C0007131|C1414313|C4058811|C0242792|C0032207|C0220650	PubMed EGFR-mutant NSCLC abstracts should retrieve NSCLC, EGFR, therapy, survival, platinum, and brain metastasis concepts.		2
pubmed_cdiff_antibiotic_diarrhea	Clostridioides difficile antibiotic associated diarrhea oral vancomycin		C0578159|C0011991|C0343386|C0042313|C0003232	PubMed C. difficile abstracts should retrieve antibiotic-associated diarrhea, diarrhea, C. difficile infection, vancomycin, and antibiotic exposure.	C0003392|C0004611	2
pubmed_lupus_preeclampsia	pregnancy lupus nephritis preeclampsia proteinuria complement		C0024141|C0024143|C0032914|C0033687|C0009506	PubMed pregnancy/lupus abstracts should retrieve SLE, lupus nephritis, preeclampsia, proteinuria, and complement concepts.		2
pubmed_stroke_thrombectomy	large vessel occlusion tenecteplase mechanical thrombectomy aphasia		C0948008|C0003537|C1536105|C0872913|C4534538	PubMed stroke abstracts should retrieve ischemic stroke, aphasia, CTA, tenecteplase, and mechanical thrombectomy.		2
pubmed_covid_ards_shock	COVID-19 acute respiratory distress syndrome septic shock acute kidney injury		C5203670|C0035222|C0036983|C2609414|C0199470|C4551696	PubMed ICU COVID abstracts should retrieve COVID-19, ARDS, septic shock, AKI, ventilation, and prone positioning.		2
pubmed_cyp2c19_clopidogrel	CYP2C19 poor metabolizer clopidogrel ticagrelor percutaneous coronary intervention		C1332828|C3845231|C0070166|C1999375|C1532338	PubMed pharmacogenomics abstracts should retrieve CYP2C19, poor metabolizer, clopidogrel, ticagrelor, and PCI concepts.		2
pubmed_icb_pneumonitis	immune checkpoint inhibitor pneumonitis pembrolizumab lung adenocarcinoma	39623374	C4684977|C3714636|C3658706|C0152013|C0264383	PubMed checkpoint-inhibitor pneumonitis abstracts should retrieve ICI exposure, pneumonitis, pembrolizumab, lung adenocarcinoma, and organizing pneumonia when present.		1
pubmed_colorectal_screening	colorectal cancer screening colonoscopy adenoma fecal immunochemical test	37870871	C0281185|C0009402|C0001430|C0009378|C2700166	PubMed colorectal screening abstracts should retrieve screening, colorectal cancer, adenoma, colonoscopy, and fecal immunochemical test concepts.		1
pubmed_hfref_sglt2	dapagliflozin heart failure reduced ejection fraction SGLT2 inhibitor type 2 diabetes	31535829	C2353951|C3839346|C3273807|C0011860|C0018801	PubMed HFrEF SGLT2 abstracts should retrieve dapagliflozin, HFrEF, SGLT2 inhibitor class, type 2 diabetes, and heart failure concepts.		1
pubmed_rheumatoid_jak	rheumatoid arthritis upadacitinib methotrexate adalimumab JAK inhibitor	31287230	C4726929|C1122087|C0003873|C0025677|C3854325	PubMed rheumatoid arthritis JAK inhibitor abstracts should retrieve upadacitinib, adalimumab, rheumatoid arthritis, methotrexate, and JAK inhibitor concepts.		1
pubmed_lupus_nephritis_belimumab	lupus nephritis belimumab mycophenolate mofetil cyclophosphamide	32937045	C1723401|C0024143|C0209368|C0010583	PubMed lupus nephritis treatment abstracts should retrieve belimumab, lupus nephritis, mycophenolate mofetil, and cyclophosphamide.		1
pubmed_semaglutide_ckd	semaglutide chronic kidney disease type 2 diabetes kidney failure eGFR	38785209	C3885068|C0011860|C1561643|C0035078|C3811844	PubMed semaglutide kidney-outcomes abstracts should retrieve semaglutide, type 2 diabetes, chronic kidney disease, kidney failure, and eGFR concepts.		1
pubmed_opioid_overdose_naloxone	naloxone opioid overdose fentanyl emergency department	37642962	C0579142|C0027358|C0015846|C0562508	PubMed opioid-overdose abstracts should retrieve opioid overdose, naloxone, fentanyl, and emergency department concepts.		1
pubmed_alzheimer_lecanemab	lecanemab Alzheimer disease amyloid beta positron emission tomography	36449413	C0002395|C5242453|C0078939|C0032743	PubMed Alzheimer lecanemab abstracts should retrieve Alzheimer disease, lecanemab, amyloid beta, and PET concepts.		1
pubmed_cystic_fibrosis_modulator	cystic fibrosis elexacaftor tezacaftor ivacaftor	31697873	C0010674|C5139717|C4519194|C3264621	PubMed cystic fibrosis modulator abstracts should retrieve cystic fibrosis, elexacaftor, tezacaftor, and ivacaftor concepts.		1
pubmed_prostate_psa_mri	prostate cancer screening PSA MRI biopsy	36477032	C0281186|C0376358|C0138741|C0024485|C0005558	PubMed prostate screening abstracts should retrieve prostate cancer screening, prostate cancer, PSA, MRI, and biopsy concepts.		1
